Dispatched,Description,Address,Grid,Report
1/17/2023 7:18,BUILDING CHECK,300 BLOCK N FLORIDA AVE,144,24146
1/17/2023 8:55,LOST/FOUND PROPERTY,4900 BLOCK W SPRUCE ST,118,24147
1/17/2023 7:14,DISABLED VEHICLE,E DR MARTIN LUTHER KING JR BLVD / N FLORIDA AVE,94,24143
1/17/2023 7:11,BUILDING CHECK,E KENNEDY BLVD / N MARION ST,144,24139
1/17/2023 7:22,AUTO BURGLARY,800 BLOCK E CHELSEA ST,82,24135
1/17/2023 6:50,BUILDING CHECK,N MARION ST / E TWIGGS ST,143,24128
1/17/2023 7:23,TRAFFIC CRASH,SR 60 W SB / COURTNEY CAMPBELL SR 60 RAMP,117,24130
1/17/2023 6:40,LOST/FOUND PROPERTY,400 BLOCK N FRANKLIN ST,143,24125
1/17/2023 6:38,AUTO BURGLARY,100 BLOCK W CURTIS ST,81,24122
1/17/2023 6:34,MISDEMEANOR,1600 BLOCK E 7TH AVE,128,24119
1/17/2023 6:34,BUILDING CHECK,900 BLOCK E WATERS AVE,29,24118
1/17/2023 6:38,LOST/FOUND PROPERTY,4400 BLOCK E HENRY AVE,63,24121
1/17/2023 6:31,DISTURBANCE,2500 BLOCK N DALE MABRY HWY,112,24115
1/17/2023 7:19,MISDEMEANOR,3600 BLOCK W HILLSBOROUGH AVE,65,24114
1/17/2023 6:21,DISTURBANCE,8900 BLOCK N FLORIDA AVE,28,24111
1/17/2023 6:06,BUILDING CHECK,2000 BLOCK E 7TH AVE,128,24099
1/17/2023 6:09,MISDEMEANOR,2500 BLOCK N 50TH ST,131,24098
1/17/2023 6:04,INFORMATION,N FRANKLIN ST / E MADISON ST,143,24097
1/17/2023 7:51,INFORMATION,4500 BLOCK W MELROSE AVE,168,24094
1/17/2023 6:34,DOMESTIC DISPUTE,6900 BLOCK INTERBAY BLVD,196,24096
1/17/2023 5:58,FIRE,W SPRUCE ST / N HIMES AVE,121,24092
1/17/2023 5:47,MISDEMEANOR,2700 BLOCK W DR MARTIN LUTHER KING JR BLVD,91,24087
1/17/2023 5:36,VEHICLE STOP/TRAFFIC,N FLORIDA AVE / W WATERS AVE,36,24083
1/17/2023 5:38,RESID/COMMERIAL ALARM,4200 BLOCK W GANDY BLVD,184,24084
1/17/2023 5:33,RESID/COMMERIAL ALARM,4400 BLOCK W HILLSBOROUGH AVE,64,24080
1/17/2023 5:11,BUILDING CHECK,N FRANKLIN ST / E MADISON ST,143,24076
